Article ID,Summary,Caption,Category,Explanation
1,"Crisis talks to be held in Geneva on Wednesday to discuss whether it constitutes as an international health emergency. Outbreak is believed to have started from people who picked it up at a seafood market in the city of Wuhan, in central China. President Xi Jinping said 217 people in China have been infected and called on the government to ramp up monitoring efforts during Chinese New Year. South Korea reported its first case Monday, when a 35-year-old Chinese woman tested positive for the new coronavirus one day after arriving at Seoul’s Incheon airport.",It has been confirmed coronavirus spreads by human contact,Complementarity,"The summary discusses the coronavirus outbreak, its origin, and spread, while the caption provides additional information about how the virus spreads. The caption is not essential for understanding the core message of the summary but enriches the context."
2,"Wuhan coronavirus is a new strain of the virus, currently named after the area in China where it is believed to have originated. It belongs to the same family of coronaviruses that causes Severe Acute Respiratory Syndrome (SARS), which originated in China in 2002 and killed nearly 800 people around the world. Early symptoms include a fever, a dry cough, a sore throat and shortness of breath. The virus is more likely to progress into a severe illness among older patients or those with weakened immune systems.",An outbreak of Wuhan coronavirus has already infected more than 200 people,Equivalence,"The summary mentions ""Wuhan coronavirus"" and the caption also refers to ""Wuhan coronavirus"". Both texts use the same tokens to describe the same entity, indicating a direct match."
3,"Public Health England is putting in place new precautions in relation to travellers to the UK from the region. Nine people have died after contracting the illness, all from the same province in China, but the number of people suffering from it has reached 440. The U.S. has reported its first case, with a man in his 30s being treated at a in hospital in Seattle. He had travelled from Wuhan where coronavirus originated, but is not said to have visited any of the markets at the centre of the outbreak.",People are being monitored for the disease at several airports across the world,Complementarity,"The summary describes the spread of a disease and precautions being taken, while the caption shows a related action (monitoring at airports). The caption adds supplementary context to the summary by illustrating one of the precautions being taken, but it is not essential for understanding the core message of the summary."
4,"So far 132 people are confirmed to have died and nearly 6,000 people are believed to have been affected by the outbreak, which started in the central Chinese city of Wuhan in December. Since then there have been cases reported in 18 countries including Thailand, Hong Kong, Macau, Korea, Australia, Singapore, Taiwan, the US, Malaysia, UAE, France, Vietnam, Nepal, Germany, Sri Lanka, Cambodia and Canada. A number of countries including the U.S, Japan and France have been evacuating or preparing to evacuate their citizens. Plans are also underway for UK citizens to be brought home – where they face being quarantined for two weeks. The Foreign Office has also advised against all but essential travel to mainland China.",Coronavirus has caused alarm worldwide,Equivalence,"The summary discusses the coronavirus outbreak and its global impact, while the caption directly states that the coronavirus has caused alarm worldwide. Both texts refer to the same event and convey a similar sense of global concern, indicating a direct match in the concept being discussed."
5,"The WHO organisation postponed the decision to declare a global public health emergency yesterday, citing the need for more information. The deadly disease has been compared to swine flu, which caused a global flu pandemic in 2009 to 2010, killing as many as 575,400 people. Coronavirus is understood to be a new strain of coronavirus that has not previously been identified in humans. It is believed to have originated from infected animals at a seafood and wildlife market in Wuhan. The city is now quarantined in an attempt to control the virus. Huanggang has been announced as the second city on lockdown.","Workers step up production of protective masks in Handan, China",Complementarity,"The summary discusses the coronavirus outbreak and the need for protective measures. The caption provides a specific example of such a measure (increased mask production) in a particular location, which enriches the context but isn't essential to the core message about the virus itself; thus, it's non-essential complementarity."
6,"Coronavirus originated in the Chinese city of Wuhan, which has a population of 11 million people and is now quarantined. There are five hundred confirmed cases of the virus, and 17 people have died in China, with the oldest being 89 and the youngest 48. Public Health England have changed the current risk to the UK from ‘very low’ to ‘low’ However, Professor Jurgen Haas who is head of infection medicine at the University of Edinburgh, said he thinks more coronavirus cases will emerge.","Medical staff transfer a patient of a highly suspected case of a new coronavirus at the Queen Elizabeth Hospital in Hong Kong, China January 22, 2020",Complementarity,"The summary describes the coronavirus outbreak and its impact, while the caption shows medical staff attending to a suspected case. The caption provides a specific instance of the situation described in the summary, adding context but not essential to the core message. Thus, it's a non-essential complement."
7,"The new strain of coronavirus has so far killed 25 people in China. A fish market in Wuhan, Hubei’s sprawling capital, is believed to be where the deadly virus originated. It sits some 20 miles from the W Uhan National Biosafety Laboratory, which housed dangerous pathogens including SARS and Ebola. In 2017, as the opening of the lab approached, scientists told the publication Nature of their worries that one of those killer viruses could ‘escape’ and go on to infect members of the public.",The Wuhan National Biosafety Laboratory researches some of the world’s most dangerous viruses,Equivalence,"The summary mentions ""Wuhan National Biosafety Laboratory"" and the caption shows the same name, establishing a direct token-token match. Both texts refer to the same entity using identical and unambiguous terms."
8,"Footage taken in Wuhan shows deserted streets and shops as the city remains on lockdown. Death toll from coronavirus outbreak has now risen to 41, with authorities desperately trying to contain its spread. China cut off trains, planes and other links to the city on January 22, and has steadily expanded the lockdown to 16 surrounding cities with a combined population of more than 50 million. Most vehicles, including private cars, are banned in downtown areas from today. The city will assign 6,000 taxis to neighborhoods to help people get around if they need to.",The streets are deserted as the city remains on lockdown,Equivalence,"The summary and caption both explicitly state that the streets are deserted due to a city-wide lockdown. The key tokens ('streets', 'deserted', 'city', 'lockdown') are identical and unambiguously refer to the same situation."
9,"The death toll from the deadly coronavirus which has swept across China and the world has reached 80, according to the country’s National Health Commission. The total number of those infected with the virus – which began in Wuhan – is now reported to be 2,744, with 769 new cases confirmed on Sunday. Other countries which have reported cases include Thailand, Taiwan, Japan, South Korea, the US, Vietnam, Singapore, Malaysia, Nepal, France, Canada and Australia. Around 52 people across England, Scotland and Wales have been tested for the flu-like illness, with all of the tests coming back negative.",Coronavirus has already spread to several countries beyond China,Equivalence,"The caption explicitly states that the Coronavirus has spread beyond China. This aligns with the summary, which details specific countries where cases have been reported, indicating a direct match in the information conveyed."
10,"Yang Zhongyi, 53, has been suffering for the last two weeks but has been unable to get full-time admission as four separate hospitals are overwhelmed. Her sons managed to get her a CT scan, which show the deterioration of her lungs from the respiratory virus. Privately doctors say they believed she has almost certainly been infected with the coronavirus, which has killed more than 100 people so far. China is building two more hospitals in Wuhan, the city at the epicentre of the outbreak which has now spread across the globe.",The coronavirus is spreading across the globe,Equivalence,Both the summary and the caption explicitly mention the coronavirus spreading across the globe. They share the identical key information making it a literal equivalence.
