Article Id,Summary,Caption,Category
1,"Crisis talks to be held in Geneva on Wednesday to discuss whether it constitutes as an international health emergency. Outbreak is believed to have started from people who picked it up at a seafood market in the city of Wuhan, in central China. President Xi Jinping said 217 people in China have been infected and called on the government to ramp up monitoring efforts during Chinese New Year. South Korea reported its first case Monday, when a 35-year-old Chinese woman tested positive for the new coronavirus one day after arriving at Seoulâ€™s Incheon airport.",It has been confirmed coronavirus spreads by human contact,Complementarity
2,"Wuhan coronavirus is a new strain of the virus, currently named after the area in China where it is believed to have originated. It belongs to the same family of coronaviruses that causes Severe Acute Respiratory Syndrome (SARS), which originated in China in 2002 and killed nearly 800 people around the world. Early symptoms include a fever, a dry cough, a sore throat and shortness of breath. The virus is more likely to progress into a severe illness among older patients or those with weakened immune systems.",An outbreak of Wuhan coronavirus has already infected more than 200 people,Equivalence
3,"Public Health England is putting in place new precautions in relation to travellers to the UK from the region. Nine people have died after contracting the illness, all from the same province in China, but the number of people suffering from it has reached 440. The U.S. has reported its first case, with a man in his 30s being treated at a in hospital in Seattle. He had travelled from Wuhan where coronavirus originated, but is not said to have visited any of the markets at the centre of the outbreak.",People are being monitored for the disease at several airports across the world,Complementarity
4,"So far 132 people are confirmed to have died and nearly 6,000 people are believed to have been affected by the outbreak, which started in the central Chinese city of Wuhan in December. Since then there have been cases reported in 18 countries including Thailand, Hong Kong, Macau, Korea, Australia, Singapore, Taiwan, the US, Malaysia, UAE, France, Vietnam, Nepal, Germany, Sri Lanka, Cambodia and Canada. A number of countries including the U.S, Japan and France have been evacuating or preparing to evacuate their citizens. Plans are also underway for UK citizens to be brought home â€“ where they face being quarantined for two weeks. The Foreign Office has also advised against all but essential travel to mainland China.",Coronavirus has caused alarm worldwide,Equivalence
5,"The WHO organisation postponed the decision to declare a global public health emergency yesterday, citing the need for more information. The deadly disease has been compared to swine flu, which caused a global flu pandemic in 2009 to 2010, killing as many as 575,400 people. Coronavirus is understood to be a new strain of coronavirus that has not previously been identified in humans. It is believed to have originated from infected animals at a seafood and wildlife market in Wuhan. The city is now quarantined in an attempt to control the virus. Huanggang has been announced as the second city on lockdown.","Workers step up production of protective masks in Handan, China",Complementarity
6,"Coronavirus originated in the Chinese city of Wuhan, which has a population of 11 million people and is now quarantined. There are five hundred confirmed cases of the virus, and 17 people have died in China, with the oldest being 89 and the youngest 48. Public Health England have changed the current risk to the UK from â€˜very lowâ€™ to â€˜lowâ€™ However, Professor Jurgen Haas who is head of infection medicine at the University of Edinburgh, said he thinks more coronavirus cases will emerge.","Medical staff transfer a patient of a highly suspected case of a new coronavirus at the Queen Elizabeth Hospital in Hong Kong, China January 22, 2020",Complementarity
7,"The new strain of coronavirus has so far killed 25 people in China. A fish market in Wuhan, Hubeiâ€™s sprawling capital, is believed to be where the deadly virus originated. It sits some 20 miles from the W Uhan National Biosafety Laboratory, which housed dangerous pathogens including SARS and Ebola. In 2017, as the opening of the lab approached, scientists told the publication Nature of their worries that one of those killer viruses could â€˜escapeâ€™ and go on to infect members of the public.",The Wuhan National Biosafety Laboratory researches some of the worldâ€™s most dangerous viruses,Equivalence
8,"Footage taken in Wuhan shows deserted streets and shops as the city remains on lockdown. Death toll from coronavirus outbreak has now risen to 41, with authorities desperately trying to contain its spread. China cut off trains, planes and other links to the city on January 22, and has steadily expanded the lockdown to 16 surrounding cities with a combined population of more than 50 million. Most vehicles, including private cars, are banned in downtown areas from today. The city will assign 6,000 taxis to neighborhoods to help people get around if they need to.",The streets are deserted as the city remains on lockdown,Equivalence
9,"The death toll from the deadly coronavirus which has swept across China and the world has reached 80, according to the countryâ€™s National Health Commission. The total number of those infected with the virus â€“ which began in Wuhan â€“ is now reported to be 2,744, with 769 new cases confirmed on Sunday. Other countries which have reported cases include Thailand, Taiwan, Japan, South Korea, the US, Vietnam, Singapore, Malaysia, Nepal, France, Canada and Australia. Around 52 people across England, Scotland and Wales have been tested for the flu-like illness, with all of the tests coming back negative.",Coronavirus has already spread to several countries beyond China,Equivalence
10,"Yang Zhongyi, 53, has been suffering for the last two weeks but has been unable to get full-time admission as four separate hospitals are overwhelmed. Her sons managed to get her a CT scan, which show the deterioration of her lungs from the respiratory virus. Privately doctors say they believed she has almost certainly been infected with the coronavirus, which has killed more than 100 people so far. China is building two more hospitals in Wuhan, the city at the epicentre of the outbreak which has now spread across the globe.",The coronavirus is spreading across the globe,Equivalence
